erinnert,sich,21.6892
So,nie,10.7824
er,mein,9.24431
andere,wird,7.06704
freue,mich,31.2704
vielleicht,zu,12.8145
Medwedew,von,11.4039
Allgemeinen,sagte,24.5876
nicht,zwangsläufig,13.7342
ihm,nicht,12.9038
des,zur,12.5316
verliert,wenn,14.0486
Folge,ersten,7.45177
Bild,ein,11.7118
in,internationalen,8.18684
Fahrt,auf,13.6717
Küste,der,9.8178
Leben,Menschen,30.1034
Bild,am,8.01454
Aktienmarkt,Dienstag,19.7003
Juni,im,45.8119
ist,zu,7.00325
den,gebracht,6.96293
Eltern,erhalten,22.7429
brauchen,wir,18.276
man,selber,8.48733
Mann,wurde,10.8808
Deutschland,zu,6.73151
Praxis,in,7.12783
fallen,vom,8.71196
August,am,12.8225
allein,nicht,6.96435
Meter,worden,6.80509
In,Jahren,24.2721
Aktie,werde,8.37511
einfach,machen,7.16936
Sie,den,6.92999
abends,am,8.47973
Männern,nicht,9.44894
Als,fest,13.7641
auch,manche,10.5534
Partie,sich,7.06581
Stellungnahme,war,8.30914
Platz,acht,16.1622
hatte,junge,8.67383
als,gilt,41.5619
Die,Maschine,17.5914
Möglichkeit,zu,25.2826
mich,sagt,15.918
Das,profitiert,6.97706
DAX,bei,10.2687
Konjunktur,die,8.3355
auf,stehenden,99.762
Menschen,zu,10.9104
Popularität,die,8.3355
Angaben,Millionen,11.5455
mir,so,14.0111
Wohnung,eines,18.9194
leicht,verletzt,29.4752
auch,dann,10.1467
chinesischen,des,19.3551
nicht,schließt,7.431
Wahlkampf,im,8.41809
müssten,werden,14.6015
eines,ots,13.2053
richten,sich,9.96438
Teil,ihrer,16.4079
Dresden,Euro,11.4326
Konkurrenz,auf,7.93746
legten,zu,9.45992
Intermediate,West,44.0845
führen,oder,7.56861
Für,sowie,7.81866
Nacht,ein,7.67558
sehr,viel,20.3153
hin,vom,11.2392
Mrd,USD,28.655
dass,wir,15.3802
dem,nach,68.2621
Dabei,um,11.635
Ausbau,werden,12.4404
Publikum,das,9.32865
besitzt,einen,9.11023
Quartal,zweite,14.3636
auf,tritt,12.305
steht,vor,6.73841
Umfrage,sich,6.93925
Minuten,alle,12.3032
der,eine,7.11558
Linie,in,10.5276
dass,technisch,9.5525
Jahre,fast,6.99178
Land,das,17.6971
hoffen,in,7.19119
Frage,man,12.096
fest,halten,13.4471
Plus,Prozent,35.9571
Bei,Verkehrsunfall,20.6208
Förderung,von,7.22869
möchte,sollte,16.3314
am,frühen,10.1704
Statistiker,in,11.5974
Die,erteilt,12.6358
Erster,der,7.85357
trennen,von,7.22869
gelebt,von,11.4039
FIFA,hat,8.69884
besser,geht,7.97852
Saison,mich,9.97914
dpa,hat,31.2119
einem,in,63.7284
letzten,stark,10.8652
viele,waren,9.10884
Dass,die,7.0867
als,einziges,12.3546
Open,bei,6.79294
Entscheidung,eine,11.593
getötet,wurden,11.3906
Menschen,Zahl,11.1136
Wagen,seinem,16.168
Facebook,Twitter,27.2479
das,morgen,11.9213
bezahlt,wird,8.02142
Namen,den,8.06295
Chef,Deutschen,17.0614
FOCUS,Online,43.4411
Boden,ist,10.4836
Studie,schrieb,33.6695
Aufmerksamkeit,für,9.24755
neuen,setzt,9.5341
Straße,Unbekannte,22.8108
Bundesregierung,der,9.25976
eigentlich,gar,14.0859
FCB,League,35.6248
Foto,ins,12.0302
